LAPORAN DATA DAN STATUS PROPERTI 2026,,,,,
PR001,Rumah 1,Bandung,884000000,193
PR002,Rumah 2,Bandung,300000000,164
PR003,Rumah 3,Bandung,885000000,119
PR004,Rumah 4,Bandung,726000000,164
PR005,Rumah 5,Bandung,519000000,99
PR006,Rumah 6,Bandung,430000000,203
PR007,Rumah 7,Bandung,853000000,235
PR008,Rumah 8,Bandung,316000000,197
PR009,Rumah 9,Bandung,375000000,212
PR010,Rumah 10,Bandung,381000000,148
PR011,Rumah 11,Bandung,274000000,151
PR012,Rumah 12,Bandung,324000000,60
PR013,Rumah 13,Bandung,864000000,119
PR014,Rumah 14,Bandung,596000000,82
PR015,Rumah 15,Bandung,310000000,124
PR016,Rumah 16,Bandung,822000000,213
PR017,Rumah 17,Bandung,519000000,148
PR018,Rumah 18,Bandung,646000000,170
PR019,Rumah 19,Bandung,665000000,88
PR020,Rumah 20,Bandung,539000000,92
